Borehole ID,Document ID,Sub Borehole Layer,Latitude,Longitude,Top Depth,Bottom Depth,Description,USCS,Lithology,Distance_km,Color,Elevation,md
3830,1442,4,47.59109508,-122.2992552,15.0,19.0,"Sand (recessional); brown, fine to medium, trace coarse sand, little silt, slightly moist, very dense",SP,Silty sand,5.823749769523486,blue,52,15.0
3831,1442,1,47.59104633,-122.2999264,0.0,15.0,"Silty sand with gravel (glacial till); brownish-gray, fine to medium, trace coarse sand, some silt, few to little gravel, moist, very dense",SM,Silty sand,5.87452298440112,blue,56,0.0
3831,1442,2,47.59104633,-122.2999264,15.0,21.0,"Sand (recessional); brown, fine to medium, little silt, slightly moist, very dense",SP,Silty sand,5.87452298440112,blue,56,15.0
3831,1442,3,47.59104633,-122.2999264,21.0,23.29999924,"Silty sand (glacial till); gray, fine to medium, trace coarse sand, some silt, few fine gravel, slightly, very",SM,Silty sand,5.87452298440112,blue,56,21.0
3832,1442,1,47.59103095,-122.3007446,0.0,1.5,"Fill-rubble, bricks, wood debris",,Fill,5.935897563566874,blue,53,0.0
3832,1442,2,47.59103095,-122.3007446,1.5,6.0,"Silty sand (weathered glacial till); brownish-gray, fine to medium, trace coarse sand, some silt, little fine gravel, very moist, medium dense",SM,Silty sand,5.935897563566874,blue,53,1.5
3832,1442,3,47.59103095,-122.3007446,6.0,14.0,"Silty sand (recessional); brown, fine to medium sand, little to some silt, trace to few fine gravel, moist, dense",SM,Silty sand,5.935897563566874,blue,53,6.0
3833,1442,1,47.5907075,-122.2998501,0.0,11.0,"Silty sand (glacial till); olive-gray, fine to medium, trace coarse sand, some silt, trace to few gravel, moist, very dense",SM,Silty sand,5.872944016821993,blue,51,0.0
3833,1442,2,47.5907075,-122.2998501,11.0,16.0,"Clayey silt (lacustrine); gray, trace fine sand, occasional silt partings, slightly moist, very hard",CL,Clayey silt,5.872944016821993,blue,51,11.0
3833,1442,3,47.5907075,-122.2998501,16.0,46.0,"Silty sand (glacial till); gray, fine to medium trace coarse sand, some silt, few to little gravel, slightly moist, very dense",SM,Silty sand,5.872944016821993,blue,51,16.0
