Borehole ID,Document ID,Sub Borehole Layer,Latitude,Longitude,Top Depth,Bottom Depth,Description,USCS,Lithology,Distance_km,Color,Elevation,md,Scaled_Latitude,Scaled_Longitude
76,575,3,47.54023485,-122.3893913,1.5,2.5,"Silty sand with gravel; gray brown, fine to medium, trace charcoal, medium dense, moist, weathered.",SM,Silty sand,14.05289506897667,blue,58,1.5,-89.69780522022575,46.39502283851016
76,575,4,47.54023485,-122.3893913,2.5,4.5,"Sand; gray, fine to coarse, trace to few silt, trace gravel, medium dense, moist.",SW,Sand,14.05289506897667,blue,58,2.5,-89.69780522022575,46.39502283851016
77,575,1,47.54046427,-122.389448,0.0,0.200000003,Asphalt.,Not applicable,Asphalt / concrete,14.04532837951035,blue,58,0.0,-87.40360522018875,45.82802283849219
77,575,2,47.54046427,-122.389448,0.200000003,1.5,"Silty sand; red-brown, fine to medium, trace gravel and charcoal, medium dense, moist.",SM,Fill,14.04532837951035,blue,58,0.200000003,-87.40360522018875,45.82802283849219
77,575,3,47.54046427,-122.389448,1.5,4.5,"Sand; gray-brown, fine to medium, trace gravel and silt, medium dense, moist.",SW,Sand,14.04532837951035,blue,58,1.5,-87.40360522018875,45.82802283849219
78,575,1,47.54045329,-122.3889415,0.0,0.100000001,Asphalt.,Not applicable,Asphalt / concrete,14.011747087950928,blue,62,0.0,-87.5134052201787,50.89302283849406
78,575,2,47.54045329,-122.3889415,0.100000001,6.0,"Silty sand with gravel; brown, fine to medium, trace organics, loose, slightly moist.",SM,Fill,14.011747087950928,blue,62,0.100000001,-87.5134052201787,50.89302283849406
78,575,3,47.54045329,-122.3889415,6.0,13.0,"Sand with silt; brown mottled gray, fine to coarse, trace gravel, medium dense, moist.",SM,Sand,14.011747087950928,blue,62,6.0,-87.5134052201787,50.89302283849406
78,575,4,47.54045329,-122.3889415,13.0,17.0,"Silty sand with gravel; brown fine to coarse sand, fine gravel, medium dense, very moist.",SM,Silty sand,14.011747087950928,blue,62,13.0,-87.5134052201787,50.89302283849406
78,575,5,47.54045329,-122.3889415,17.0,20.0,"Sand with silt; brown, fine to medium, trace gravel, very dense, moist.",SW,Sand,14.011747087950928,blue,62,17.0,-87.5134052201787,50.89302283849406
78,575,6,47.54045329,-122.3889415,20.0,29.5,"Sand; gray brown, fine to medium, trace silt and gravel, with occasional laminations of sandy silt, very dense, very moist.",SW,Sand,14.011747087950928,blue,62,20.0,-87.5134052201787,50.89302283849406
79,575,1,47.54022712,-122.3890226,0.0,0.100000001,Asphalt.,Not applicable,Asphalt / concrete,14.028457749922987,blue,63,0.0,-89.77510522022669,50.082022838466855
79,575,2,47.54022712,-122.3890226,0.100000001,6.0,"Silty sand with gravel; brown, fine to medium, trace organics, loose, moist.",SM,Fill,14.028457749922987,blue,63,0.100000001,-89.77510522022669,50.082022838466855
79,575,3,47.54022712,-122.3890226,6.0,16.0,"Sand; gray brown, fine to coarse, little silt and gravel, very dense, wet.",SW,Sand,14.028457749922987,blue,63,6.0,-89.77510522022669,50.082022838466855
79,575,4,47.54022712,-122.3890226,16.0,19.0,"Sand with gravel; gray, fine to coarse sand, fine gravel, very dense, wet.",SW,Sand,14.028457749922987,blue,63,16.0,-89.77510522022669,50.082022838466855
